dye	time	FSC.H	BL1.H	BL3.H	date	name
SYTO9	40	381664	10003	295	2023-12-13	121323_SYTO9 Timeline_Experiment_Tubes_40.fcs
SYTO9	45	381130	9790	290	2023-12-13	121323_SYTO9 Timeline_Experiment_Tubes_45.fcs
SYTO9	5	396186	10329.5	299	2023-12-13	121323_SYTO9 Timeline_Experiment_Tubes_5.fcs
SYTO9	50	377033.5	9887.5	294	2023-12-13	121323_SYTO9 Timeline_Experiment_Tubes_50.fcs
SYTO9	55	371894	10358	308	2023-12-13	121323_SYTO9 Timeline_Experiment_Tubes_55.fcs
SYTO9	60	367593.5	11851	347.5	2023-12-13	121323_SYTO9 Timeline_Experiment_Tubes_60.fcs
SYTO9	0	408696.5	1089	71	2023-12-14	121423_SYTO9 Timeline_Experiment_Tubes_0.fcs
SYTO9	10	404963	11980	340	2023-12-14	121423_SYTO9 Timeline_Experiment_Tubes_10.fcs
SYTO9	15	402361	13597	384	2023-12-14	121423_SYTO9 Timeline_Experiment_Tubes_15.fcs
SYTO9	20	400019.5	11759.5	333.5	2023-12-14	121423_SYTO9 Timeline_Experiment_Tubes_20.fcs
SYTO9	25	402000	11775	336	2023-12-14	121423_SYTO9 Timeline_Experiment_Tubes_25.fcs
SYTO9	30	398988	11493	330	2023-12-14	121423_SYTO9 Timeline_Experiment_Tubes_30.fcs
SYTO9	35	394428	10633	308	2023-12-14	121423_SYTO9 Timeline_Experiment_Tubes_35.fcs
SYTO9	40	392155.5	9950	290	2023-12-14	121423_SYTO9 Timeline_Experiment_Tubes_40.fcs
SYTO9	45	385074.5	10397	301	2023-12-14	121423_SYTO9 Timeline_Experiment_Tubes_45.fcs
SYTO9	5	403282	10763	307	2023-12-14	121423_SYTO9 Timeline_Experiment_Tubes_5.fcs
SYTO9	50	383984	9654	282	2023-12-14	121423_SYTO9 Timeline_Experiment_Tubes_50.fcs
SYTO9	55	375829.5	9569.5	283.5	2023-12-14	121423_SYTO9 Timeline_Experiment_Tubes_55.fcs
SYTO9	60	378385	10508	305	2023-12-14	121423_SYTO9 Timeline_Experiment_Tubes_60.fcs
SYTO9	0	388622	1952	87	2023-12-15	121523_SYTO9 Timeline_Experiment_Tubes_0.fcs
SYTO9	10	381603	15236	434	2023-12-15	121523_SYTO9 Timeline_Experiment_Tubes_10.fcs
SYTO9	15	380704	16177	462	2023-12-15	121523_SYTO9 Timeline_Experiment_Tubes_15.fcs
SYTO9	20	380844	15221	439	2023-12-15	121523_SYTO9 Timeline_Experiment_Tubes_20.fcs
SYTO9	25	373660	16267	470	2023-12-15	121523_SYTO9 Timeline_Experiment_Tubes_25.fcs
SYTO9	30	372490	16696	486	2023-12-15	121523_SYTO9 Timeline_Experiment_Tubes_30.fcs
SYTO9	35	373372	16822	488	2023-12-15	121523_SYTO9 Timeline_Experiment_Tubes_35.fcs
SYTO9	40	366312	16682	491	2023-12-15	121523_SYTO9 Timeline_Experiment_Tubes_40.fcs
SYTO9	45	363734.5	16406	479	2023-12-15	121523_SYTO9 Timeline_Experiment_Tubes_45.fcs
SYTO9	5	378853.5	11738.5	337	2023-12-15	121523_SYTO9 Timeline_Experiment_Tubes_5.fcs
SYTO9	50	363024.5	16792.5	494	2023-12-15	121523_SYTO9 Timeline_Experiment_Tubes_50.fcs
SYTO9	55	359859	17514	515	2023-12-15	121523_SYTO9 Timeline_Experiment_Tubes_55.fcs
SYTO9	60	348407	18774.5	564.5	2023-12-15	121523_SYTO9 Timeline_Experiment_Tubes_60.fcs
